अंकन,ankan
तर्रार,tarrar
काक,kak
भुशुंडि,bhushundi
अल्फा,alpha
ऐरिटस,aritus
दूरबीन,durbin
प्रकाशिकी,prakashiki
शिला,shila
ओट,ot
वनस्पतियों,vanspatiyon
सूखी,sukhi
गिरी,giri
पत्तियाँ,pattiyaan
काई,kayi
बिछा,bichha
बढता,badhta
सीढियाँ,sidhiyaan
चढते,chadhate
नेहरूजी,nehruji
मंत्रिमण्डल,mantrimandal
गृहमन्त्री,grihamantri
मेरानॉन,maranon
नाजी,nazi
अन्डालुस,andalus
उत्कृष्ठ,utkristh
कृतियो,kritiyo
प्रणाम,pranam
सौरमान,saurmaan
चांद्रमान,chandramaan
सूचकांक,suchkank
झगड़ा,jhagada
घूमे,ghume
घूम,ghum
चलेगा,chalega
वैब्स्टर,webster
पुरा,pura
वेनबर्ग,venaberg
निंद,ninda
अत्ताप्यु,attapeu
अब्दुस्समद,abdussamad
काबुल,kabul
बीत,beet
एसटी,st
वाजिब,vaajib
महरूम,mahrum
कुठाराघात,kutharghat
हरिबाबा,haribaba
ज्योर्ति,jyorti
कल्प,kalpa
वृत्तान्त,vrittaant
सर्वविसर्ग,sarvavisarga
आदिनिवासी,aadinivaasi
भागना,bhagana
विश्वपर्यन्त,vishvaparyant
नजदीकी,nazdiki
नासपाती,naaspati
पैपिला,paipila
क्लार्क,clark
लोइस,lois
बिताकर,bitaakar
नदियों,nadiyon
कोवकलदेव,kovakaldev
मुग्धतुंग,mugdhatunga
केयूरवंर्ष,keyurvanrsa
कवलित,kavalit
पंचजन,panchajan
मुख्यतया,mukhyetya
अड्डे,adde
पीएएफ,paf
बेस,base
सुरिंदर,surinder
दा,da
शॉप,shop
लुधियाना,ludhiana
दायी,daayi
बायी,baayi
नहरो,nahro
खेतो,kheto
पहुचेगा,pahuchegaa
मंजिला,manjila
लोकेश,lokesh
बेटियाँ,betiya
शिवानी,shivani
शिनोली,shinoli
घोड़गांव,ghodagaon
स्वरलहरी,svaralahari
एलॉय,alloy
फोनों,phonon
छोड़ते,chhodte
आयामों,aayamon
परिदर्शक,paridarshak
मौफिद,maufid
अज़ीज़,aziz
हीर,hir
तुलसीपुर,tulsipur
चांबियों,chaanbiyon
आतंकवादियों,aatankwadiyon
याक़ूब,yaqub
देहांत,dehant
तुषारिस्तान,tusharistan
केरमान,karman
फ़ार्स,fars
ख़ुरासान,khurasan
तवाफ़,tawaaf
बोहेमिया,bohemiya
सम्मानजनक,sammaanjanak
घंटियाली,ghantiyali
फलोदी,phalodi
ह्वेल,havel
सपना,sapna
अतुल,atul
स्वादिष्ठ,swaadisht
ऐंगस्ट्रम,angstrom
रिदम,rhythm
ब्लूज़,blues
ध्वनिक,dhwanik
मुग्ध,mugdh
चुकाए,chukaaye
करों,karon
सदानंद,sadaanand
बक्सी,bakshi
वफादार,wafadar
सुसभ्य,susabhya
पत्रकारों,patrkaaron
सार्वजानिक,sarvjanik
संघठनो,sanghathano
आयुर्विज्ञान,ayurvigyan
लुत्फ,lutfa
नसीरबाग,nasirbaug
शाहिबाग,shahibaug
सुरक्षाकर्मियों,surksaakrmiyon
सार्जेण्ट,sergeant
टेरी,terry
इन्स्पेक्टर,inspector
सुमो,sumo
मिनटों,minuton
लूटेरे,lootere
एसोसिएसन,association
CBA,cba
चार्टेड,chartered
जमाराशि,jamaarashi
CDIC,cdic
ऑक्साइड,oxaid
मोनोक्साइड,monoxide
सेस्क्विऑक्साइड,cesquoxide
डाइऑक्सइड,dioxide
विलासिता,wilasita
दोहरे,dohre
सतुलित,santulit
कर्कट,karkat
गुनाहों,gunahon
मूला,mula
साग,sag
उत्‍तर,uttar
साहनी,sahni
ओसीआनास,oceania
देवपरिवार,devpariwar
आँखों,aankhon
अमरीकन,amrikan
सामोआ,samoa
अनओर्पोरेटेड,anopareted
कैक्टस,cactus
मनसा,mansa
ब्लॉए,blow
रेटर,rater
वैसिली,wassily
कैंडिंस्की,kandinsky
फ़्रैंज,frange
स्वामिनारायण,swaminarayan
शिक्षापत्री,shikshapatri
प्रकाशमिति,prakashmiti
स्पेक्ट्रोस्कोपी,spektroskopi
ध्रुवणमापन,dhruvanmapan
सालार,salar
जंग,jung
राधा,radha
हल्के,hulke
बादामी,badami
चॉकलेटी,chokletee
चित्ते,chitte
व्यय,vyay
सिलसिले,silsile
फ़ोटोग्राफ़ी,photography
अपनों,apnon
दाहिनी,dahini
प्रकाशकिरण,prakashkiran
उदहारण,udaaharan
मध्ययुगीन,madhyayugin
लौहयुग,lauhyug
नाली,nali
प्रक्षेप,prakshep
माइकलसन,mickelson
मोर्ले,morley
कृष्णजन्मभूमि,krishnajanmbhoomi
निढाल,nidhaal
पडते,padte
लडने,ladne
हिदायतों,hidayaton
खिलाफवर्जी,khilafvarji
सश्रम,sashram
गगन,gagan
सेठी,sethi
राठौड़,rathore
बहादुरी,bahaduri
इलेक्ट्रोविनिंग,elektrovinig
मैदा,maida
पिसा,pisa
गाढ़ा,gadha
पुनर्विकसित,punarviksit
इकाइयाँ,ikaiyan
ईकाई,ikai
क्रांतिक,kraantik
पियाल,piyaal
भीमा,bhima
अवक्षेपण,avkshepan
संवेदनशीलता,sanvedanshilata
गिराए,giray
हलकी,halki
वाल्‍मीकि,valmiki
भंगी,bhangee
पेशा,pesha
झरझरी,jharjhari
परावर्तनवाली,paraavartanvaali
थपलियाल,thapliyal
बसाया,basaya
ईडा,eeda
हरिजन,harijan
गजेर,gajer
शून्यपुराण,shunyapuraan
एमआरआई,mri
ज़ीन,jeen
मोहरे,mohre
सुगठित,sugathit
लम्‍बा,lamba
चौड़ा,chauda
ललाट,lallat
भौंहों,bhaunho
व्‍यक्तित्‍व,vyaktitv
व्‍यक्ति,vyakti
सुभाषचन्द्र,subhaschandra
नेकी,neki
चिदंबरम,chindbaram
रामेश्वरम,rameshwaram
तीर्थयात्रा,tirthyatra
एम्पलीफायरों,emplifayaron
काजल,kajal
खानाबदोशों,khanabadoshon
कॉन्टेक्ट,kontakt
लेंस,lense
सनग्लास,sanglaas
टाइमपीसेस,timepieces
अजूबों,ajubon
स्थानिक,sthanik
सेर्गेई,sergey
येसेनिन,yessenin
निकटवर्तियों,nikatvartiyon
संकटग्रस्त,sankatgrast
झोपड़ियां,jhoparhiyan
समावेश,samavesh
अल्मोडा,almoda
नंदा,nandaa
दृष्टिकोन,drushtikon
प्रताडित,pratadit
फाल्गुन,falgun
त्रयोदशी,trayodhashi
बारहवें,barhaven
तेरहवी,terahvin
स्टैंड,stand
वेलेंटीना,valentina
तेरेशकोवा,tereshkova
स्वेतलाना,svetlana
सवित्सकाया,savitskaya
अमरिकी,ameriki
चिंताएं,chintayen
टैटू,tetoo
कटलर,cutler
बेकेट,becket
बाँह,baanh
वेष्टन,veshtan
कुत्सित,kutsit
सारतत्व,saartatv
श्रेष्ठता,shresthata
ठगे,thage
अपद्रव्यीकरण,apdravyikaran
अपनामकरण,apnaamkaran
मिसब्रैंडिंग,misbreinding
कीड़े,kide
अन्तरराष्ट्रीय,antarrashtriya
संविधि,samvidhi
हांग,hong
कांग,kong
आइसनर,eisner
बर्बाद,barbad
पश्‍चात,pashchat
प्रैट,pratt
व्हिटनी,whitney
दीर्घवृत्तीय,dirghvruttiy
इब्राहीम,ibrahim
गोलाकार,golakar
पितर,pitar
टिग्रीनिया,tigrinya
एसडीएफ,sdf
प्रत्याशियों,pratyaashiyon
सीटों,sito
युक्रेन,yukren
पोलैंड,poland
फ़िनलैंड,finland
तातार,tatar
जग,jug
निकलीं,niklin
बोरियत,boriyat
विध्वंसक,vishvansak
टकराव,takraav
पतवार,patwar
इंजिन,engine
पंखो,pankhon
वाष्पीकरण,washpikaran
तापमापन,taapmaan
असंतुलन,asantulan
प्रभागों,prabhagon
टुपैक,tupac
शाकुर,shakur
नॉटोरियस,notorius
एंजेल्स,angeles
कांड,kand
इर्दगिर्द,irdgird
रैंपार्ट,rampart
स्कैंडल,scandal
खर,khar
दूषन,dooshan
मरमु,marmu
दसानन,dasaanan
अरुणा,aruna
मंदियां,mandiyan
नकारात्मक,nakaraatmak
एडमंड,edmond
थामस,thomas
जीएसटी,gst
चयनित,chaynit
बफेलो,buffalo
अलटीटुड,altitude
फ्रीक्वेंट,frequent
फ्लायर,flier
इक्कसवीं,ikkisvin
लुटेरा,lutera
प्रेमकहानी,premkahani
मोटवानी,motwani
लघुकथा,laghukatha
लास्ट,last
जैमिनी,jemini
अश्वमेध,ashwamegh
पुनःकथन,punahkathan
धधकने,dhadhkane
ट्रान्सक्रिप्शन,transcription
फ्रिन्गीस,fringis
करिन्थी,currimati
काल्पिनक,kalpanik
शांकव,shaankav
उत्केन्द्रता,utkendrata
तरुणा,taruna
निरंकारी,nirankari
रिचा,richa
नागेन्द्र,nagendra
अनियतकालीन,aniyatkaalin
रिहाई,rihayi
प्राउट,sprout
लॉकयर,lockyer
लघुतम,laghutam
अद्वितीय,advitiye
भित्तिचित्र,bhittichtra
प्रतिरक्षण,pratirakshana
जबतक,jabtak
सोचता,sochta
ट्रेडिंग,trading
कलंक,kalank
मिटा,mitaa
अक्केलपुर,akkalpur
अक्षुण्ण,akshunna
वारें,vaaren
डाइवर्स,daivars
फ्रोग्,frog
मैन,man
तैराकों,tairakon
उत्पल,utpal
बिशुनुप्रिया,vishnupriya
सौंदर्यशास्त्र,saundaryashastra
बकरीद,bakrid
भड़कने,bharakane
नैनीताल,nainital
नवाब,nawab
सुष्मिता,sushmita
विश्वबंधुत्व,vishwabandhutva
वसुधेव,vasudhev
कुटुंबकम,kutumbakam
पकाया,pakaya
दबाए,dabaye
उच्चायोग,uchhayog
कॉन्सूल,kounsul
सूझा,suza
विद्युत्‌,vidyut
कहानिया,kahaniyan
वैदिकों,vaidikon
बडागा,badaga
हांगकांग,hongkong
तांडव,tandav
रूटेसिई,rutaceae
कंटीला,kanteela
नानज़िंग,nanjing
जापानियों,japaniyon
क्रियावान,kiryavaan
पुरु ष,purush
प्रतिभावाले,pratibhavale
बोधगम्य,bodhagamya
रीजेन्ट,regent
पॉलिटेक्निक,polutechnic
अंशकालिक,anshkalik
लिओनार्ड,leonard
स्टेनहोप,stenhope
तल्ले,talle
प्रोटॉन,proton
पारमाणविक,paarmaanvik
विवर्तन,vivartan
प्रायोगिक,prayogik
शागिर्द,shagird
अभौतिकवादी,abhautikvadi
नाट्य,natya
ऊत्तीर्ण,uttirn
परीक्षार्थी,pariksharthi
मिलेंगे,milenge
आंखें,aankhen
अर्द्धचन्द्राकार,ardhachandraakar
दर्शी,darshi
अष्टम,ashtm
सूर्यदेव,suryadev
निवसी,nivasi
पहुंचेगी,pahunchegi
वॄति,vrutti
निरंकुश,nirankush
कील,kill
एपिडेमिलॉजिक्स,epidemilojics
पेशेवरों,peshewaron
सतर्क,satark
वृत्तियाँ,vruttiyan
विपर्यय,viparyay
निद्रा,nidr
गुलाबी,gulabi
चरणभावना,charanbhavna
गाते,gate
पुरातत्वविद्,puratatvavid
रिश्ते,rishte
पधारे,padhare
पसन्द,pasand
आयी,aayi
कृष्णगाथा,krishnagaatha
फ़िल्म्स,films
बैनर,banner
डेविअन,devian
कहने,kehne
अपशब्द,apshabd
आदिल,adil
जियाउद्दीन,ziauddin
जुबेरी,zuberi
गणितज्ञ,ganitgya
तर्कज्ञ,tarkagya
सिद्धांतवादी,siddhantvaadi
शिक्षाविद,shikshavid
लीगों,ligon
असूरी,asoori
बीजारोपण,bijaropan
मृत्युपरांत,mrutyuparant
समस्याएँ,samasyaen
तंबाकू,tanbaku
क्षीण,kshin
गिल्डर,gilder
ढूंढने,dhundhne
सेकेण्ड,second
बहे,bahe
ट्रिप,trip
मुनियों,muniyon
नारुटो,naruto
दंगा,danga
भड़क,bharak
शुभचिन्तक,shubhchintak
काँग्रेसी,kangresi
अर्द्धशताब्दी,ardhshatabdi
अनावरण,anavaran
गणपतिराव,ganpatirao
देवराव,devrao
तपासे,tapase
दैत्यों,deityon
साइक्लोप्स,siklops
प्राण,praan
कुतु,kutu
नगरदेवता,nagardevta
प्रोजेक्टाइल,projektail
asphyxiating,asphyxiating
सुदामाजी,sudamaji
ड्रगलिनेस,druglines
महामारियाँ,mahamariyam
मेसोपोटेमिया,mesopotamia
सुमेरीय,sumeriy
एत्रस्कन,etraskan
कंट्रेरियन,contrarian
Contrarian,contrarian
Share,share
विषयगत,vishaygat
सूचीकरण,suchikaran
तकुवा,takuva
बारीक,barik
ईशानवर्मन्,ishanvarman
कंबुजनरेश,kambujanaresh
दोहित्र,dohitra
पहुँचते,pahunchte
कार्तीय,kaartiya
निर्देशांक,nirdeshank
रकहते,rakhte
एकेएम,akm
राइफल,rifle
टीटी,tt
पिस्तोल,pistol
हथगोले,hathgole
ज़ंजीर,zanzeer
बंधी,bandhi
बाड़,baad
बङी,badi
नगदी,nagdi
जन्मतिथि,janmtithi
कुंह,kuhn
प्राणायाम,pranayam
अमृत,amruth
प्रतिमायें,pratimayen
महराजा,mahraja
सिद्धियाँ,siddhiyan
इटरनलब्लू,intarnalblu
ETERNALBLUE,eternalblue
एक्सप्लॉइट,exploit
लिंकन,linking
टनल,tunnel
नानाजी,nanaji
संडे,sunday
मोटल,motel
बिता,bitaa
धान्य,dhanya
मंपिन्दर,mapinder
गृहणी,gruhani
अनुभूतिपूर्ण,anubhutipurn
मार्मिकता,maarmikta
बौना,bounaa
कैलरिक,caloric
जानेवाली,janevali
जबान,jabaan
जफरनगर,jaffarnagar
बेतिया,betiya
फणीन्द्रनाथ,fanindranath
संस्थाएँ,sansthayen
निबंधकार,nibandhkar
जिज्ञासापूर्ण,jigyasapurv
सल्फर,sulfur
डाईऑक्साइड,daioxaid
संसाधित,sansadhita
रॉबर्टस,roberts
हेरोइन,heroin
हथियारो,hathiyaro
स्मगलर,smuggler
शांताराम,shantaram
n,n
देतो,deto
मेलोडी,melody
मेकर,maker
एमर्सन,amerson
पामर,pamar
मुनाफा,munafa
कमा,kamaa
बाध्यता,badhyata
मूलक,mulak
पूछताछ,puchtach
वाध,baad
हाजी,hazi
अलगाववादियों,algavvadiyon
आईएस,ias
निसंदेह,nisandeha
तथापित,tathapit
नरसिंहराय,narsinghray
नोबल,noble
क्लाइव,clive
मेटकाफ,metcalfe
वादन,vadan
शीलाग,sheilag
गाती,gati
फिक्टीशस,fictitious
Alaska,alaska
Range,range
पश्चिमोत्तरी,pashchimottari
दक्षिणमध्य,dakshinmadhya
युकॉन,yukon
बीएआरसी,barc
उगाये,ugaaye
सकेंगे,sakenge
नचिकेता,nachiketaa
अध्यात्मविद्या,adhyatmvidya
उन्होँने,unhone
अनदेखे,andekhe
अनसुलझे,ansuljhe
रहस्योँ,rahasyon
रूबरू,rubru
दर्ज़न,darjan
पेंटिंग्स,paintings
कुआलालंपूर,kualalampur
वायुयान,vayuyan
तनावों,tanavon
विशदों,vishadon
चिन्ताओं,chintaon
कुण्ठाओं,kunthaon
अपनाकर,apnakar
नशों,nashon
सुलह,sulh
फ़ाइलें,failen
शल्की,shalki
केदारताल,kedartaal
सुंदरतम,sundartam
आकाशरूपी,aakashroopi
शु,shu
पृथ्वीरूपी,pruthviroopi
उटंग,utung
लेटा,leta
खानजदाह,khanjadah
राजपूताना,rajputana
साम्राजय,samrajya
गिरफ्तारी,girftari
विधायकों,vidhayakon
लोकनायक,loknayak
जयप्रकाश,jayprakesh
निभायी,nibhayi
पौरुष,paurush
सवैया,sawaiya
मनहर,manhar
मतगयंद,matgayand
कवित्त,kavitta
धमाल,dhamal
भजन,bhajan
गजलों,gazalon
समयावधि,samayavadhi
वायुमंडलीय,vayumandaliy
डैन,dan
धनोआ,dhanoa
मध्यपूर्व,madhypurv
गोंडा,gonda
सरजू,sarju
सोशलिस्‍ट,socialist
फर्मी,pharmi
हेस्पेरियम,hesperium
सर्फर्स,surfers
पैराडाइज़,paradise
क्वीन्सलैंड,queensland
मोरोक्कन,moroccon
मदिरा,madira
मंगोलिया,mangoliya
अइमग,imag
अपव्यय,apvyay
टिप्पणियां,tippaniya
जर्सी,jersey
रटगर्स,rutgers
एडविन,edwin
ब्रायंट,briant
मतिहीनता,matiheenta
कैंडिस्की,kandinsky
काज़िमिर,kazimir
माल्विच,malevich
नादिर,nadir
एफ़ोन्सो,afonso
मैनिलो,manlio
रो,row
मारियो,mario
रैडिक,radice
मिनो,mino
अर्जेन्टो,argento
इलिनौय्स,illinois
जलेसर,jalesar
करौली,karoli
जादौन,jadaun
लछिमन,lachhiman
उपदेस,updes
अनूपा,anoopa
सूपनखा,soopankha
कीन्हि,kinhi
कुरूपा,kuroopa
नामे,naame
आहरण,aahran
हरना,harna
श्रीरघुबीर,shriraghubir
बरना,barna
घोटाला,ghotala
वाक्य,waky
सत्यमेव,satyaev
स्वाहा,swaha
मूसी,musi
पाइरेसी,piracy
प्रिंटिंग,printing
अंगूठियां,anguthiyan
रुप,roop
सऊदी,saudi
विधिवधानों,vidhivadhanon
जानबूझकर,janbuzkar
समतलीय,samtaliy
त्रिविमितीय,trivimitiy
दुर्घट,durghat
मोर्चों,morcho
रेजगारी,rejgaari
अडिग,adig
बहिष्‍कार,bahishkar
सीमारौला,seemaraula
कुलडी,kuladi
कंठल,kanthal
ननपंदेरी,nanpanderi
ठूँलपंदेर,thoolpander
मैणा,maina
इंशाअल्ला,inshaalla
सदासुखलाल,sadasukhlal
प्रतिष्ठापक,pratisthapak
आँकड़ा,aankda
प्रतिभागी,pratibhagi
शान्तिदायक,shantidayak
पीड़ाशामक,peedashamak
विनबागो,vinbaago
चाड,chad
मुअम्मर,muammar
गद्दाफी,gaddafi
यांगि,yaangi
येर,yer
राजधान,rajdhaan
सड़को,sadakon
धंग,dhang
चिरजीवी,chirjeevi
भैंसों,bhainson
क्रूवेइलियर,cruvoiler
डैनी,danny
डेन्जोंगपा,denzongpa
कोको,coco
मैविया,mavia
पितृवंश,pitruvansh
क्यु,kyu
Q,q
ज़िज़िफस,zizyphus
हिमकारी,himkaari
असिक्रीड़ा,asikrida
फेन्सिंग,fencing
जिमनास्टिक,gymnastics
बॉस्केटबॉल,basketball
प्याज़े,pyaaze
संज्ञानात्मक,sangyanatmak
शिवकुमार,shivkumar
Television,television
show,show
ट्रेलर,trailor
केबल,keble
उद्देश्यों,uddeshyon
ब्लूबेरी,blueberry
हंट,hunt
थ्रिलर,thriller
जिममें,jismen
नसीरुद्दीन,naseerudin
आहना,ahna
कुम्रा,kumra
उन्नीकृष्णन,unnikrishnan
संकालिया,sankaliya
फोर्रट,forrt
एलांगोवन,elangovan
सहजावस्था,sahjavastha
विषयासक्ति,vishayasakti
आत्मप्रतीति,aatmpratiti
आत्मपूजा,aatmapooja
व्यवसायी,vyavsayi
असारता,asarta
आत्मपरिचय,aatmaparichay
विनाशिता,vinashita
हीनता,hinta
अनित्यता,anityata
ननद,nanad
भावज,bhavaj
गाली,gali
इलाको,ilako
सीमांकित,simankit
पश्तून,pashtoon
पश्तो,pashto
कोचिंग,coching
सर्वोच्‍च,sarvochch
सम्‍मानित,sammanit
लोकतांत्रिक,loktantrik
कोंसटेंटीनेस्क्यु,constantinques
डेमोक्रेट,democrat
लीस्क्यु,lecce
ट्रायन,troyon
बसेस्क्यु,busescu
अलायंस,alliance
स्कंद,skand
चोरों,choron
वीरगति,virgati
तियोक्रितस,tiokratus
सिराक्यूज,syracuse
त्वरण,tvaran
मापने,mapne
तारीके,tarike
अपवहन,apvahan
ड्रिफ्ट,drift
करंट,current
स्ट्रीम,stream
ऋजु,riju
जनन,jann
होनेवाले,honeyvale
अर्थात्‌,arthat
रेखज,rekhaj
सरलतापूर्वक,saraltapurvak
जनकों,janakon
डोरकों,dorakon
निरूपति,niroopit
स्त्रीवाद,striwad
झेलता,jhelta
संभल,sambhal
बासकेंट,basant
फिलोसौफिकल,philosophical
थ्योरी,thyori
औफ़,of
ओसीरसि,osirasi
थेराप्यूटिक्स,therapyutiks
प्रोकाईमल,prokaimal
ठहराने,thehrane
देगें,denge
व्युत्क्रम,vyutkram
सेलिसबरी,salisbury
तदनुसार,tadnusar
चूजों,chujon
भ्रूणों,bhrunon
नैमा,naima
बर्फ़बारी,barfbaari
मोहनलालगंज,mohanlalganj
उधने,udhane
पाएंगे,payenge
ओलुस,olaus
ड्राइंग,drawing
जयगढ़,jaigarh
सकतपुर,sakatpur
मिढाकुर,midhakur
सीमावरती,simavarti
अटकलें,atkalen
बनेगें,banenge
नवनिर्माण,navnirman
भाग्यवान,bhagyavaan
पंचायती,panchayati
याज्ञवल्क्य,yagyavailakya
टिप्पणीकार,tippanikaar
मिताक्षर,mitaakshar
यथाशब्द,yathaashabd
प्रायश्चित,prayshit
पापी,papi
प्रजापत्य,prajaapaty
समदूरस्थ,samadurasth
शैव,shaiva
हाईवे,highway
रुद्रपुर,rudrapur
पंतनगर,pantnagar
भवाली,bhowali
रानीखेत,ranikhet
द्वाराहाट,dwarahat
चौखुटिया,chaukhootia
गैरसैण,gairsain
आदिबद्री,adibadri
कर्णप्रयाग,karnaprang
सकेगी,sakegi
रहस्यमय,rahsyamay
संकेतार्थ,sanketaarth
शक्षम,shaksham
मायनों,maynon
अधूरे,adhure
त्रुटिपूर्ण,trutipurna
मानों,maanon
परिमित,parimit
प्रसरण,prasaran
dQ,dq
जीवनानंद,jivanaanand
टर्मिनल,terminal
स्टाफ़,staff
आवासीय,awasiy
दयानंद,dayananda
सीनियर,senior
एडव्होकेट,advocate
दलीलों,dalilon
सिपाहियों,sipahiyon
कोस्टा,costa
कंकोर्डिया,concordia
जहाज़,jahaz
पश्च्यात,pashchyaat
सीरीना,serena
पेसेफिका,pacefica
फावोलोसा,favolosa
फासिनोसा,fasinosa
निर्मिती,nirmiti
तैतरीय,taitariy
कठोपनिषद्,kathopanisad
मस्जिदें,masjidein
टकसाल,taksal
कार्यशालाएँ,karyashalaein
स्नानाग्रह,snaanaagrah
ओली,oli
कोइराला,koirala
कैबिनेटों,cabineton
इस्लामवादी,islamwadi
शरीयत,shariyat
क्रियान्वयन,kriyanvayan
विशाखापट्‌नम,visakhapatnam
गुंटूर,guntur
आधारभूत,adharbhut
रहेंगे,rahenge
वायुसेना,vayusena
लड़ती,ladti
अस्वीकार्य,aswikarya
बाराबंकी,barabanki
नवाबगंज,nawabganj
आवारा,awaara
बगदाद,baghdad
व्यावासिक,vyaavaasik
पोकर,pokar
नेग्रेनु,negrenu
नौरोजी,nowroji
सकलतवाला,sakalatwala
हिलता,hilataa
आँसू,aansu
करुण,karun
ढँग,dhanga
धर्मपत्नी,dharmapatni
कहलवाया,kahalawaya
कैरी,carry
में युक्,mein
युक्,uk
टोरंटो,torrento
ओंटारियो,ontario
कॉमेडी,comedy
शुरू आत,shuruaat
कनफ़ूशीवाद,kanafushivad
संपूर्णता,sampurnta
अव्याघात,avyaaghaat
धर्मावलंबी,dharmavlambi
तीर्थंकर,tirthkar
वासुपूज्य,vaasupujya
बतलाते,batlate
प्रियादास,priyadas
सब्बेसां,sabbesaan
भाषाय,bhasay
मागधाय,maagadhaay
निरूक्तियां,niruktiyaan
वृक्षदोहद,vrikshdohad
अभिवृत्ति,abhivritti
ज्योतिषीय,jyotisiy
पतले,patle
पेटेंटों,petenton
अपवादों,apvadon
ज़िम्बाब्वे,zimbabwe
मांझी,manji
महाल,mahaal
व्यव्स्था,vyavstha
मैगनिस्ट्रान,maiganistraan
सायद,syed
असंयमी,asanymi
कुंवारियों,kunvaariyon
जंगलीपन,jangalipan
बैठी,baithi
नवयौवना,navayauvanaa
चार्ट्स,charts
तरकीब,tarkib
फाटा,fata
मोर्गाना,morgana
मरीचिकाओं,marichikaaon
चालाकी,chalaki
सूर्यास्त,suryasta
सुखपूर्वक,sukhapurvak
कथायें,kathaye
सुनायी,sunayi
हेमादपंथि,hemadpanthi
घंटा,ghanta
नवलेखन,navlekhan
साधरण,saadharan
अन्तरजाल,antarjaal
बदलना,badlanaa
संघटन,sanghatan
इस्लिंगटन,islington
द्रोणपर्व,dronparv
सभापर्व,sabhaaparv
स्वर्गारोहणपर्व,svrgarohanparv
आसामी,asami
पापुआ,papua
गिनी,gini
धुँधली,dhundhali
उत्तरप्रियदर्शी,uttarpriydarshi
दीर्घाक्ष,dirghaksh
लघ्वाक्ष,laghvaksh
न्यूरोलॉजी,neurology
मनके,mankey
मिटटी,mitti
टेराकोटा,terracotta
यक्ष,yaksh
यक्षियों,yakshiyon
प्रतिमाएँ,pratimaayen
प्रर्दशित,pridarshit
बैलबोआ,balboa
मुक्केबाज,mukkebaj
राह,rah
अद्जारा,adjara
नाखुश,nakhush
बख़्तरबंद,bakhtarband
सीक्वल,sequel
लेस्टर,lester
पदभार,padbhar
सरदारीलाल,sardarilal
बालमीक,balmik
भगवाना,bhagwana
आवेदन,avedan
अदम्य,adamye
निष्कपट,niskapat
समाजशास्त्र,samajshastra
विखंडनीय,vikhandaniy
राजनयिक,rajnayik
आक्रमनकारी,aakramankaari
असामान्यता,asamanyta
संयन्त्र,sayantr
मेगावाट,megawatt
फ्रान्सिस,francis
त्सुक्कोमी,tsukkomi
समझदारी,samajhdari
बोके,boke
बुद्धिहीनता,buddhihinataa
ग़लत,galat
व्यंग्यपूर्ण,vyangayapurna
चीज़े,chijee
भेजते,bhejte
केशिका,keshika
कातना,katanaa
काँटा,kaantaa
चुभता,chubhataa
आखोँ,aakhon
हॉर्स,horse
स्थानान्तरित,sthanantrit
इस्की,iski
कीर्तिस्तम्भ,kirtistambh
अब्दुस,abdus
सलाम,salam
उद्दीन,uddin
बरकत,barkat
जब्बार,jabbar
प्रतिस्पर्धी,pratispardhi
रोमानियन,romaniyan
सौरमंडल,sourmandal
आयो,aayo
पिण्डों,pindon
भूपटल,bhupatal
ज्वालामुखीय,jwalamukhiya
उगले,ugaley
अंबेडकर,ambedkar
मरणोपरान्त,marnoparaant
ओज़ोन,ozone
जीर्ण,jirn
झरना,jharnaa
सत्त्व,sattatv
रमाशंकर,ramashankar
द्वैत,dvait
केवलाद्वैत,kevlaadvait
विशिष्टाद्वैत,vishistaadvait
शुद्धाद्वैत,shuddhaadvait
द्वैताद्वैत,dvaitaadvait
सैद्धांतिक,saidhantik
विचारधाराएं,vichardharayen
कैसा,kaisa
डूप्लीकेट,duplicate
साज़िश,saajish
फँसते,fanste
नवगठित,navgathit
कामकाज,kamkaj
ज्ञानेश,gyanesh
श्रेणिगत,shrenigat
इसहाक़,isahake
नर्दन,northen
ब्लॉट,blot
नमूनों,namunon
द्वारिकानाथ,dwarikanath
उद्योगपतियों,udyogpatiyon
उद्यमियों,udymiyon
जोरासंको,joraasanko
पुनर्जागरण,punarjaagaran
निर्देष्ट,nirdest
गद्यकारों,gadaykaron
भूविज्ञान,bhuvigyan
कार्मिक,karmik
जाइंट्स,giants
होम,home
प्रतिभाशाली,pratibhashali
डुबकी,dubki
लगाएंगे,lagayenge
वरिएगटा,vertegata
टाइगर,tiger
पुनर्योजी,punaryoji
दर्शाती,darshati
कैथेराइन,catherine
अवव्याख्यावादी,avavyaakhyawadi
व्यर्थ,vyarth
प्रोजेक्ट्स,projects
संचारण,sanchaaran
सिंड्रोम,syndrome
वियालेटो,vialetto
लाएरे,laurer
प्रोटेस्टेंट,protestant
बैलगाड़ी,bailgadi
विति,viti
लेवु,levu
अश्वों,ashvon
परम्परानिष्ठ,parmpranisth
अनुदार,anudaar
अभिजनों,abhijanon
अतिदुर्लभ,atidurlabh
परिष्कृत,parishkrit
मॉडल्स,models
परिकलन,parikalan
आसियान,aasiyaan
जकार्ता,jakarta
कुआलालंपुर,kualalumpur
मनीला,manila
फास्फेटी,phosphate
उर्वरकों,urvarakon
अभिकर्मकों,abhikarmakon
नसिर,nasir
शांकराद्वैत,shankaraadvait
रिवर्स,rivers
कोलम्बो,colombo
भैंसें,bhainsen
